Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,Mfg Std Lead Time,Description,Comments,RoHS Status,Lead Free Status,REACH Status
3M9448-ND,3M,961103-6404-AR,JP1,1,0,0,8 Weeks,CONN HEADER VERT SGL 3POS GOLD,,RoHS Compliant,Lead free,Not Available
455-1749-1-ND,JST SALES AMERICA INC (VA),S2B-PH-SM4-TB(LF)(SN),BATT-HEADER,1,0,0,14 Weeks,CONN HEADER PH SIDE 2POS 2MM SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
3M9451-ND,3M,961106-6404-AR,UART,1,0,0,8 Weeks,CONN HEADER VERT SGL 6POS GOLD,,RoHS Compliant,Lead free,Not Available
3M9460-ND,3M,961210-6404-AR,JTAG,1,0,0,8 Weeks,CONN HEADER VERT DUAL 10POS GOLD,,RoHS Compliant,Lead free,Not Available
3M9461-ND,3M,961216-6404-AR,JP4,1,0,0,8 Weeks,CONN HEADER VERT DUAL 16POS GOLD,,RoHS Compliant,Lead free,Not Available
541-0.0YBCT-ND,VISHAY DALE (VA),CRCW04020000Z0EDHP,"R12, R14",3,0,0,16 Weeks,RES SMD 0.0 OHM JUMPER 1/8W 0402,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dez-2011
541-1.87KLCT-ND,VISHAY DALE (VA),CRCW04021K87FKED,R2,1,0,0,18 Weeks,RES SMD 1.87K OHM 1% 1/16W 0402,Minimum / Multiple of 10,RoHS Compliant,Lead free,Unaffected Dez-2011
541-100KLCT-ND,VISHAY DALE (VA),CRCW0402100KFKED,"R1, R11, R15, R18",4,0,0,18 Weeks,RES SMD 100K OHM 1% 1/16W 0402,Minimum / Multiple of 10,RoHS Compliant,Lead free,Unaffected Dez-2011
311-10KJRCT-ND,YAGEO (VA),RC0402JR-0710KL,"R13, R16, R17",3,0,0,22 Weeks,RES SMD 10K OHM 5% 1/16W 0402,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2015
541-2.05MLCT-ND,VISHAY DALE (VA),CRCW04022M05FKED,"R4, R5",2,0,0,18 Weeks,RES SMD 2.05M OHM 1% 1/16W 0402,Minimum / Multiple of 10,RoHS Compliant,Lead free,Unaffected Dez-2011
311-27JRCT-ND,YAGEO (VA),RC0402JR-0727RL,"R9, R10",2,0,0,22 Weeks,RES SMD 27 OHM 5% 1/16W 0402,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2015
311-649KLRCT-ND,YAGEO (VA),RC0402FR-07649KL,"R6, R7",2,0,0,22 Weeks,RES SMD 649K OHM 1% 1/16W 0402,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2015
587-1227-1-ND,TAIYO YUDEN (VA),LMK105BJ104KV-F,"C2, C3, C4, C5, C8, C9, C14, C30, C31",9,0,0,5 Weeks,CAP CER 0.1UF 10V X5R 0402,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
490-6186-1-ND,MURATA ELECTRONICS (VA),GRM1555C1H100FA01D,"C25, C26",2,0,0,10 Weeks,CAP CER 10PF 50V NP0 0402,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2015
1276-2402-1-ND,"SAMSUNG ELECTRO-MECHANICS AMERICA, INC (VA)",CL21A106KPCLQNC,"C23, C24, C27, C28",4,0,0,10 Weeks,CAP CER 10UF 10V X5R 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dez-2014
490-6203-1-ND,MURATA ELECTRONICS (VA),GRM1555C1H180FA01D,"C10, C11, C12, C13",4,0,0,10 Weeks,CAP CER 18PF 50V NP0 0402,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2015
490-11362-1-ND,MURATA ELECTRONICS (VA),GRM1555C1E1R0BA01D,C22,1,0,0,18 Weeks,CAP CER 1PF 25V NP0 0402,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
1276-1946-1-ND,"SAMSUNG ELECTRO-MECHANICS AMERICA, INC (VA)",CL10B105KP8NNNC,C1,1,0,0,10 Weeks,CAP CER 1UF 10V X7R 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dez-2014
1276-1188-1-ND,"SAMSUNG ELECTRO-MECHANICS AMERICA, INC (VA)",CL21B225KPFNNNE,C29,1,0,0,10 Weeks,CAP CER 2.2UF 10V X7R 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dez-2014
490-10476-1-ND,MURATA ELECTRONICS (VA),GRM188R61A226ME15D,"C6, C7",2,0,0,12 Weeks,CAP CER 22UF 10V X5R 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2015
490-11393-1-ND,MURATA ELECTRONICS (VA),GRM1555C1H3R6WA01D,"C15, C16, C17, C18, C19, C20, C21",7,0,0,10 Weeks,CAP CER 3.6PF 50V NP0 0402,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
445-8023-1-ND,TDK CORPORATION (VA),C1005X5R1A475M050BC,C32,1,0,0,10 Weeks,CAP CER 4.7UF 10V X5R 0402,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2015
311-1021-1-ND,YAGEO (VA),CC0402JRNPO9BN470,"C33, C34",2,0,0,19 Weeks,CAP CER 47PF 50V NPO 0402,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2015
24AA01/SN-ND,MICROCHIP TECHNOLOGY,24AA01/SN,IC3,1,0,0,10 Weeks,IC EEPROM 1KBIT 400KHZ 8SOIC,Minimum / Multiple of 1800,RoHS Compliant,Lead free,Unaffected Jun-2015
A102074CT-ND,TE CONNECTIVITY AMP (VA),1-1624094-8,"L2, L3",2,0,0,20 Weeks,FIXED IND 4.7UH 315MA 1 OHM SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
296-42989-1-ND,TEXAS INSTRUMENTS (VA),CC1310F128RGZT,U$1,1,0,0,6 Weeks,MCU RF WIRELESS 48VQFN,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dez-2014
490-6744-1-ND	,,,U$9,1,0,0,,,Match Not Found,Not Available,Not Available,Not Available
490-6746-1-ND,MURATA ELECTRONICS (VA),LQP15MN18NG02D,"U$4, U$5, U$6, U$7, U$8",5,0,0,8 Weeks,FIXED IND 18NH 80MA 2 OHM SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2015
587-1810-1-ND,TAIYO YUDEN (VA),LBM2016T6R8J,L1,1,0,0,4 Weeks,FIXED IND 6.8UH 240MA 970 MOHM,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
BC857BLT1GOSCT-ND,ON SEMICONDUCTOR (VA),BC857BLT1G,Q2,1,0,0,9 Weeks,TRANS PNP 45V 0.1A SOT23,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2015
768-1135-1-ND,FTDI (VA),FT230XS-R,IC1,1,0,0,12 Weeks,IC USB SERIAL BASIC UART 16SSOP,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2015
CKN10424CT-ND,C&K COMPONENTS (VA),KSEM31G LFS,U$13,1,0,0,7 Weeks,SWITCH TACTILE SPST-NO 0.05A 32V,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2015
LTC3554EUD#PBF-ND,LINEAR TECHNOLOGY,LTC3554EUD#PBF,U$11,1,0,0,6 Weeks,IC USB POWER MANAGER 20UTQFN,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2015
644-1040-1-ND,NDK (VA),NX5032GA-24.000000MHZ-LN-CD-1,U$3,1,0,0,8 Weeks,CRYSTAL 24.0000MHZ 8PF SMD,Alternate Packaging Exists,RoHS Compliant,Lead free by exemption,Unaffected Dez-2014
300-8744-1-ND,CITIZEN FINEDEVICE CO LTD (VA),CM250C32000AZFT,U$2,1,0,0,13 Weeks,CRYSTAL 32.0000KHZ 12.5PF SMD,Alternate Packaging Exists,RoHS Compliant,Not applicable,Unaffected Dez-2014
609-4050-1-ND,FCI (VA),10103594-0001LF,J1,1,0,0,9 Weeks,CONN RCPT STD MICRO USB TYPE B,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dez-2012
