Qty,Value,Device,Package,Parts,Description,DIGIKEY,MF,MPN,OC_FARNELL,OC_NEWARK
1,,LED-0603,C0603,LED1,LEDs,,,,,
1,0R,RESISTOR-0402,C0402,R12,Resistors,,,,,
1,0R3,RESISTOR-0402,C0402,R15,Resistors,,,,,
5,100k,RESISTOR-0402,C0402,"R1, R3, R11, R13, R14",Resistors,,,,,
9,100nF,CAPACITOR-0402,C0402,"C2, C3, C4, C5, C8, C9, C14, C30, C32",Capacitors,,,,,
1,100pF,CAPACITOR-0402,C0402,C21,Capacitors,,,,,
1,100µF,CAPACITOR-1206,C1206,C36,Capacitors,,,,,
1,10k,RESISTOR-0402,C0402,B_LOADER_PDWN,Resistors,,,,,
2,10pF,CAPACITOR-0402,C0402,"C25, C26",Capacitors,,,,,
4,10µF,CAPACITOR-0805,C0805,"C23, C24, C27, C28",Capacitors,,,,,
1,12nH,INDUCTOR-0402,C0402,L9,Inductors,,,,,
2,12pF,CAPACITOR-0402,C0402,"C10, C11",Capacitors,,,,,
1,16k5,RESISTOR-0402,C0402,R2,Resistors,,,,,
1,18nH,INDUCTOR-0402,C0402,L4,Inductors,,,,,
2,18pF,CAPACITOR-0402,C0402,"C12, C13",Capacitors,,,,,
1,1k,RESISTOR-0402,C0402,R8,Resistors,,,,,
1,1k5,RESISTOR-0402,C0402,R20,Resistors,,,,,
1,1pF,CAPACITOR-0402,C0402,C22,Capacitors,,,,,
1,1µF,CAPACITOR-0402,C0402,C1,Capacitors,,,,,
2,2.05M,RESISTOR-0402,C0402,"R4, R5",Resistors,,,,,
2,2.2µF,CAPACITOR-0603,C0603,"C29, C35",Capacitors,,,,,
1,2.7pF,CAPACITOR-0402,C0402,C18,Capacitors,,,,,
2,22µF,CAPACITOR-0603,C0603,"C6, C7",Capacitors,,,,,
1,25AA1024T,25AA080SN,SO-08,25AA1024T,"Serial EEPROM 4K/ 8K , SPI bus",,MICROCHIP,25AA080/SN,1816072,92C7351
2,27R,RESISTOR-0402,C0402,"R9, R10",Resistors,,,,,
1,3.3pF,CAPACITOR-0402,C0402,C20,Capacitors,,,,,
3,3.6pF,CAPACITOR-0402,C0402,"C15, C16, C17",Capacitors,,,,,
1,32.768Hz,CMR200T,CMR200T,U$2,,,,,,
1,4.7µF,CAPACITOR-0402,C0402,C31,Capacitors,,,,,
2,4.7µH,L-EUL1812,L1812,"L2, L3","INDUCTOR, European symbol",,,,,
2,47pF,CAPACITOR-0402,C0402,"C33, C34",Capacitors,,,,,
1,4k32,RESISTOR-0402,C0402,R19,Resistors,,,,,
1,6.2pF,CAPACITOR-0402,C0402,C19,Capacitors,,,,,
2,6.8nH,INDUCTOR-0402,C0402,"L7, L8",Inductors,,,,,
1,6.8µH,INDUCTOR-0603,C0603,L1,Inductors,,,,,
2,649k,RESISTOR-0402,C0402,"R6, R7",Resistors,,,,,
2,7.5nH,INDUCTOR-0402,C0402,"L5, L6",Inductors,,,,,
1,BC857ALT1SMD,BC857ALT1SMD,SOT23-BEC,Q2,PNP Transistror,,,,,
1,CC1310,CC1310,S-PVQFN-N48,U$1,,,,,,
1,FT231XQ,FT231XQ,QFN20-PAD,IC2,FTDI FT231X  USB to UART Bridge (5V tolerant inputs),768-1128-6-ND,,,,
1,JST-2,JST-2,JST-2,U$15,,,,,,
2,KSEM31G,KSEM31G,KSEM31G,"BOOTLOADER_BTN, BTN_RESET",,,,,,
1,LTC3554,LTC3554,QFN-20-3X3,U$11,,,,,,
1,MI0283QT,MI0283QT,MI0283QT,U$14,,,,,,
1,NX5032G,NX5032G,NX5032G*,Q2_24MHZ,,,,,,
1,USB-MICRO,USB-MICRO,USB-MICRO-10103594,J1,USB Connectors,609-4050-6-ND,,,,
